Assembly,C,0.32794736071733194
Assembly,C++,0.30980861028406365
C,Assembly,0.32794736071733194
C,C++,0.6738526148263898
C,CMake,0.41914143039986057
C,Makefile,0.4349265647118961
C,Objective-C,0.3067222786919446
C,Shell,0.3227657325951621
C++,Assembly,0.3098086102840636
C++,C,0.6738526148263898
C++,CMake,0.5779395987770809
C++,Cuda,0.3135042711133139
C++,Makefile,0.38840764539123196
C++,Shell,0.3101138620421871
CMake,C,0.41914143039986057
CMake,C++,0.5779395987770809
CSS,HTML,0.7278693526152923
CSS,JavaScript,0.6447419261187098
Cuda,C++,0.31350427111331397
Go,Makefile,0.3479355537045186
HTML,CSS,0.7278693526152923
HTML,JavaScript,0.6661424297389404
HTML,Vue,0.3469963280950235
JavaScript,CSS,0.64474192611871
JavaScript,HTML,0.6661424297389404
JavaScript,Vue,0.33746503196901273
Makefile,C,0.4349265647118961
Makefile,C++,0.38840764539123196
Makefile,Go,0.3479355537045186
Makefile,Shell,0.36918108204094136
Objective-C,C,0.3067222786919446
Objective-C,Ruby,0.505093906388164
Objective-C,Swift,0.4223508410219125
Python,Shell,0.3781239011956386
Ruby,Objective-C,0.5050939063881639
Ruby,Swift,0.5683422431816598
Shell,C,0.3227657325951621
Shell,C++,0.3101138620421871
Shell,Makefile,0.3691810820409414
Shell,Python,0.3781239011956386
Swift,Objective-C,0.42235084102191256
Swift,Ruby,0.5683422431816597
Vue,HTML,0.3469963280950235
Vue,JavaScript,0.33746503196901273
